File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
584549.csv,Australia,267,9,New Zealand,260,8,female,2012/13,2012/12/19,Rose Bowl,,4,North Sydney Oval,Sydney,,Australia,bat,AE Satterthwaite,BNJ Oxenford,RG Patterson,,NR Johnstone,DJ Harper,Australia,,7,,
343759.csv,Pakistan,322,5,Bangladesh,129,10,male,2007/08,2008/04/08,Bangladesh in Pakistan ODI Series,,1,Gaddafi Stadium,Lahore,,Pakistan,bat,Mohammad Yousuf,Aleem Dar,SA Bucknor,Ahmed Shahab,Zameer Haider,MJ Procter,Pakistan,,152,,D/L
374059.csv,Pakistan,294,9,West Indies,295,6,male,2008/09,2008/11/12,Pakistan v West Indies ODI Series,,1,Sheikh Zayed Stadium,Abu Dhabi,true,West Indies,bat,CH Gayle,MR Benson,SJ Davis,,DJ Harper,MJ Procter,Pakistan,,,4,
710311.csv,Pakistan,260,5,Sri Lanka,261,5,male,2013/14,2014/03/08,,Asia Cup,,Shere Bangla National Stadium,Mirpur,true,Pakistan,bat,SL Malinga,NJ Llong,BNJ Oxenford,Masudur Rahman,CK Nandan,JJ Crowe,Sri Lanka,,,5,
743979.csv,England,309,8,Australia,245,10,male,2015,2015/09/05,Australia in England ODI Series,,2,Lord's,London,,England,field,MR Marsh,HDPK Dharmasena,RT Robinson,RJ Bailey,JS Wilson,JJ Crowe,Australia,,64,,
636160.csv,Australia,300,8,England,301,9,male,2013/14,2014/01/17,England in Australia ODI Series,,2,"""Brisbane Cricket Ground",Brisbane,,England,bat,JP Faulkner,HDPK Dharmasena,JD Ward,SD Fry,REJ Martinesz,RS Madugalle,Australia,,,1,
1062508.csv,Italy,205,9,Oman,208,5,male,2016/17,2016/11/02,,ICC World Cricket League Division Four,,"""Wong Cricket Field",Los Angeles,true,Italy,bat,Zeeshan Siddiqui,L Oala,JM Williams,Iftikhar Ali,,D Govindjee,Oman,,,5,
1085945.csv,New Zealand,188,9,Sri Lanka,189,1,female,2017,2017/06/24,,ICC Women's World Cup,1,County Ground,Bristol,true,New Zealand,field,HR Huddleston,AK Chaudhary,CA Polosak,S Redfern,,DT Jukes,New Zealand,,,9,
749781.csv,New Zealand,218,9,Sri Lanka,219,7,male,2014/15,2015/01/11,Sri Lanka in New Zealand ODI Series,,1,Hagley Oval,Christchurch,,Sri Lanka,bat,CJ Anderson,CB Gaffaney,NJ Llong,BF Bowden,IJ Gould,J Srinath,New Zealand,,,3,
649099.csv,Pakistan,268,7,South Africa,151,10,male,2013/14,2013/11/11,Pakistan v South Africa ODI Series,,5,Sharjah Cricket Stadium,,true,South Africa,bat,AB de Villiers,Ahsan Raza,RK Illingworth,Zameer Haider,SJ Davis,RS Madugalle,South Africa,,117,,
1085948.csv,Australia,204,10,West Indies,205,2,female,2017,2017/06/26,,ICC Women's World Cup,4,County Ground,Taunton,true,West Indies,bat,NE Bolton,K Cross,AT Holdstock,CM Brown,,DT Jukes,Australia,,,8,
1040497.csv,Afghanistan,220,10,Ireland,224,7,male,2016/17,2017/03/22,Afghanistan v Ireland ODI Series,,4,Greater Noida Sports Complex Ground,Greater Noida,true,Afghanistan,bat,KJ O'Brien,Ahmed Shah Durrani,AK Chaudhary,Bismillah Shinwari,Nitin Menon,GF Labrooy,Ireland,,,3,
1085946.csv,England,281,3,India,246,10,female,2017,2017/06/24,,ICC Women's World Cup,2,County Ground,Derby,,England,field,S Mandhana,Ahsan Raza,GO Brathwaite,P Wilson,S George,RB Richardson,India,,35,,
250668.csv,South Africa,392,6,Pakistan,228,10,male,2006/07,2007/02/04,Pakistan in South Africa ODI Series,,1,SuperSport Park,Centurion,,Pakistan,field,JH Kallis,RE Koertzen,PD Parker,JD Cloete,KH Hurter,BC Broad,South Africa,,164,,
749553.csv,Singapore,208,9,Malaysia,160,10,male,2014,2014/06/24,,ICC World Cricket League Division Four,,Singapore Cricket Club,Padang,,Malaysia,field,Nasir Shafiq,Akbar Ali,C Howard,B Manikandan,,SR Bernard,Singapore,,48,,
433603.csv,Sri Lanka,229,6,England,231,0,male,2010/11,2011/03/26,,ICC Cricket World Cup,,R Premadasa Stadium,Colombo,,England,bat,TM Dilshan,BR Doctrove,SJA Taufel,SK Tarapore,AL Hill,JJ Crowe,Sri Lanka,,,10,
1144503.csv,Afghanistan,125,10,South Africa,131,1,male,2019,2019/06/15,,World Cup,21,Sophia Gardens,Cardiff,,South Africa,field,Imran Tahir,CB Gaffaney,RSA Palliyaguruge,NJ Llong,IJ Gould,AJ Pycroft,South Africa,,,9,D/L
710307.csv,Afghanistan,159,10,India,160,2,male,2013/14,2014/03/05,,Asia Cup,9,Shere Bangla National Stadium,Mirpur,true,India,field,RA Jadeja,BF Bowden,NJ Llong,Masudur Rahman,Ahsan Raza,JJ Crowe,India,,,8,
536931.csv,India,260,6,West Indies,244,10,male,2011/12,2011/12/05,West Indies in India ODI Series,,3,"""Sardar Patel Stadium",Ahmedabad,,India,field,R Rampaul,S Asnani,AL Hill,,VA Kulkarni,DC Boon,West Indies,,16,,
1059711.csv,Sri Lanka,227,10,West Indies,165,10,male,2016/17,2016/11/16,Zimbabwe Tri-Nation Series,,2,Harare Sports Club,,true,Sri Lanka,field,JO Holder,M Erasmus,RB Tiffin,L Rusere,C Shamshuddin,J Srinath,West Indies,,62,,
657641.csv,Pakistan,326,5,Sri Lanka,213,10,male,2013/14,2013/12/22,Pakistan v Sri Lanka ODI Series,,3,Sharjah Cricket Stadium,,true,Sri Lanka,field,Mohammad Hafeez,JD Cloete,Shozab Raza,,RK Illingworth,DC Boon,Pakistan,,113,,
868729.csv,Pakistan,268,7,Zimbabwe,269,4,male,2015,2015/05/29,Zimbabwe in Pakistan ODI Series,,2,Gaddafi Stadium,Lahore,,Pakistan,field,Azhar Ali,Shozab Raza,RB Tiffin,Ahsan Raza,Ahmed Shahab,Azhar Khan,Pakistan,,,6,
433594.csv,New Zealand,265,9,Sri Lanka,153,10,male,2010/11,2011/03/18,,ICC Cricket World Cup,38,Wankhede Stadium,Mumbai,true,Sri Lanka,bat,KC Sangakkara,Asad Rauf,RA Kettleborough,BF Bowden,AM Saheba,AJ Pycroft,Sri Lanka,,112,,
415277.csv,Australia,275,8,West Indies,225,9,male,2009/10,2009/09/26,,ICC Champions Trophy,5,New Wanderers Stadium,Johannesburg,true,West Indies,field,MG Johnson,Asad Rauf,AL Hill,Aleem Dar,BF Bowden,JJ Crowe,Australia,,50,,
750667.csv,Sri Lanka,242,8,England,236,5,male,2014/15,2014/12/03,England in Sri Lanka ODI Series,,3,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,Sri Lanka,bat,JC Buttler,SD Fry,RSA Palliyaguruge,RR Wimalasiri,SJ Davis,DC Boon,England,,,5,D/L
1144491.csv,Bangladesh,244,10,New Zealand,248,8,male,2019,2019/06/05,,World Cup,9,Kennington Oval,London,,New Zealand,field,LRPL Taylor,BNJ Oxenford,PR Reiffel,HDPK Dharmasena,JS Wilson,DC Boon,New Zealand,,,2,
902645.csv,England,208,10,Pakistan,210,4,male,2015/16,2015/11/17,Pakistan v England ODI Series,,3,Sharjah Cricket Stadium,,true,Pakistan,bat,JWA Taylor,JD Cloete,Shozab Raza,Ahsan Raza,CB Gaffaney,RS Madugalle,England,,,6,
247504.csv,West Indies,300,10,England,301,9,male,2006/07,2007/04/21,,ICC World Cup,48,"""Kensington Oval",Barbados,,England,field,KP Pietersen,RE Koertzen,SJA Taufel,SA Bucknor,BF Bowden,RS Madugalle,England,,,1,
433591.csv,Ireland,272,7,South Africa,141,10,male,2010/11,2011/03/15,,ICC Cricket World Cup,34,Eden Gardens,Kolkata,true,Ireland,field,JP Duminy,HDPK Dharmasena,BR Doctrove,IJ Gould,SJA Taufel,RS Madugalle,South Africa,,131,,
300438.csv,New Zealand,158,10,England,165,0,male,2007/08,2008/02/12,England in New Zealand ODI Series,,2,Seddon Park,Hamilton,,New Zealand,field,JD Ryder,Asad Rauf,GAV Baxter,BF Bowden,EA Watkin,AG Hurst,New Zealand,,,10,D/L
503364.csv,Bangladesh,229,7,Australia,232,1,male,2011,2011/04/11,Australia in Bangladesh ODI Series,,2,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,SR Watson,JD Cloete,Sharfuddoula,Tanvir Ahmed,Nadir Shah,RS Mahanama,Australia,,,9,
518964.csv,Australia,280,6,Sri Lanka,283,7,male,2011/12,2012/02/24,,Commonwealth Bank Series,9,Bellerive Oval,Hobart,,Australia,bat,DPMD Jayawardene,BF Bowden,BNJ Oxenford,GC Joshua,SD Fry,BC Broad,Sri Lanka,,,3,
913419.csv,Fiji,287,7,Guernsey,99,10,male,2015,2015/09/07,,ICC World Cricket League Division Six,,Castle Park Cricket Ground,Colchester,true,Fiji,field,OE Newey,AA Baig,Sarika Prasad,R Black,,GF Labrooy,Guernsey,,188,,
1089183.csv,United Arab Emirates,251,9,Papua New Guinea,148,10,male,2017,2017/04/04,Papua New Guinea in United Arab Emirates ODI Series,,3,Sheikh Zayed Stadium,Abu Dhabi,,United Arab Emirates,bat,,Akbar Ali,Shozab Raza,IJ Dixon,,SR Bernard,United Arab Emirates,,103,,
247492.csv,Ireland,263,8,New Zealand,134,10,male,2006/07,2007/04/09,,ICC World Cup,36,Providence Stadium,Guyana,true,New Zealand,bat,PG Fulton,SA Bucknor,SJA Taufel,GE Greaves,BR Doctrove,RS Madugalle,New Zealand,,129,,
973773.csv,Malaysia,248,9,Singapore,249,4,male,2015/16,2016/02/20,Stan Nagaiah Trophy,,2,Kinrara Academy Oval,Kuala Lumpur,,Malaysia,field,,N Sivan,Zaidan Taha,,,,Malaysia,,,6,
668957.csv,Bangladesh,307,5,New Zealand,309,6,male,2013/14,2013/11/03,New Zealand in Bangladesh ODI Series,,3,Khan Shaheb Osman Ali Stadium,Fatullah,,Bangladesh,field,Shamsur Rahman,Enamul Haque,REJ Martinesz,Masudur Rahman,Sharfuddoula,BC Broad,Bangladesh,,,4,
247502.csv,West Indies,230,5,Bangladesh,131,10,male,2006/07,2007/04/19,,ICC World Cup,46,"""Kensington Oval",Barbados,,Bangladesh,field,RR Sarwan,BF Bowden,RE Koertzen,SA Bucknor,SJA Taufel,JJ Crowe,West Indies,,99,,
335358.csv,India,273,10,Sri Lanka,173,10,male,2008,2008/07/06,,Asia Cup,,National Stadium,Karachi,true,India,field,BAW Mendis,AL Hill,SJA Taufel,Ahsan Raza,Zameer Haider,AG Hurst,Sri Lanka,,100,,
635653.csv,Sri Lanka,320,5,South Africa,140,10,male,2013,2013/07/20,South Africa in Sri Lanka ODI Series,,1,R Premadasa Stadium,Colombo,,South Africa,field,KC Sangakkara,RA Kettleborough,REJ Martinesz,RR Wimalasiri,RJ Tucker,AJ Pycroft,Sri Lanka,,180,,
463145.csv,South Africa,399,6,Zimbabwe,127,10,male,2010/11,2010/10/22,Zimbabwe in South Africa ODI Series,,3,Willowmoore Park,Benoni,,South Africa,bat,JP Duminy,JD Cloete,Enamul Haque,BG Jerling,M Erasmus,RS Mahanama,South Africa,,272,,
631138.csv,Netherlands,236,10,Ireland,148,10,male,2013,2013/07/07,,"""ICC World Cricket League Championship",43,VRA Ground,Amstelveen,,Ireland,bat,KJ O'Brien,CB Gaffaney,M Hawthorne,AG Wharf,,DT Jukes,Ireland,,88,,
915781.csv,Sri Lanka,206,9,West Indies,180,5,male,2015/16,2015/11/07,West Indies in Sri Lanka ODI Series,,3,Pallekele International Cricket Stadium,,,Sri Lanka,field,MN Samuels,MA Gough,RR Wimalasiri,RSA Palliyaguruge,RJ Tucker,DC Boon,Sri Lanka,,19,,D/L
727921.csv,Australia,215,10,Pakistan,217,5,male,2014/15,2014/10/10,Pakistan v Australia ODI Series,,2,Dubai International Cricket Stadium,,true,Pakistan,bat,GJ Maxwell,NJ Llong,Shozab Raza,Ahsan Raza,RK Illingworth,J Srinath,Australia,,,5,
584547.csv,Australia,288,6,New Zealand,289,6,female,2012/13,2012/12/14,Rose Bowl,,2,North Sydney Oval,Sydney,,Australia,field,AE Satterthwaite,BNJ Oxenford,RG Patterson,,NR Johnstone,DJ Harper,Australia,,,4,
225251.csv,England,319,8,Sri Lanka,273,10,male,2006,2006/06/20,NatWest Series,,2,Kennington Oval,London,,Sri Lanka,bat,ST Jayasuriya,IJ Gould,DB Hair,,PJ Hartley,CH Lloyd,Sri Lanka,,46,,
439148.csv,West Indies,300,5,South Africa,283,10,male,2010,2010/05/24,South Africa in West Indies ODI Series,,2,"""Sir Vivian Richards Stadium",Antigua,,South Africa,bat,HM Amla,CR Duncan,DJ Harper,NA Malcolm,CE Mack,RS Mahanama,South Africa,,17,,
446967.csv,Australia,333,6,England,334,8,male,2010/11,2011/02/02,England in Australia ODI Series,,6,Sydney Cricket Ground,,,England,bat,IJL Trott,M Erasmus,DJ Harper,SD Fry,Asad Rauf,J Srinath,Australia,,,2,
749569.csv,Singapore,235,7,Malaysia,178,10,male,2014,2014/06/28,,ICC World Cricket League Division Four,,Kallang Ground,Singapore,,Singapore,field,Khizar Hayat,Ahmed Shah Durrani,DA Haggo,RSA Palliyaguruge,,SR Bernard,Malaysia,,57,,
520600.csv,New Zealand,253,9,South Africa,254,4,male,2011/12,2012/02/25,South Africa in New Zealand ODI Series,,1,Westpac Stadium,Wellington,,New Zealand,bat,AB de Villiers,CB Gaffaney,RK Illingworth,GAV Baxter,Aleem Dar,RS Mahanama,South Africa,,,6,
433605.csv,India,260,9,Pakistan,231,10,male,2010/11,2011/03/30,,ICC Cricket World Cup,,"""Punjab Cricket Association Stadium",Chandigarh,,India,bat,SR Tendulkar,IJ Gould,SJA Taufel,RJ Tucker,BF Bowden,RS Madugalle,India,,29,,
1068737.csv,United Arab Emirates,232,8,Papua New Guinea,206,10,male,2017,2017/04/02,Papua New Guinea in United Arab Emirates ODI Series,"""ICC World Cricket League Championship",38,Sheikh Zayed Stadium,Abu Dhabi,,Papua New Guinea,bat,,Akbar Ali,Shozab Raza,IJ Dixon,,SR Bernard,Papua New Guinea,,26,,
403380.csv,Sri Lanka,216,7,New Zealand,119,10,male,2009,2009/09/08,,Compaq Cup,1,R Premadasa Stadium,Colombo,,Sri Lanka,bat,TT Samaraweera,EAR de Silva,BR Doctrove,MSK Nandiweera,HDPK Dharmasena,BC Broad,Sri Lanka,,97,,
426720.csv,New Zealand,287,9,Pakistan,149,10,male,2009/10,2009/11/03,Pakistan v New Zealand ODI Series,,1,Sheikh Zayed Stadium,Abu Dhabi,true,Pakistan,bat,Shahid Afridi,Asad Rauf,BNJ Oxenford,Nadeem Ghauri,Zameer Haider,AJ Pycroft,Pakistan,,138,,
1083447.csv,Sri Lanka,311,10,Bangladesh,0,0,male,2016/17,2017/03/28,Bangladesh in Sri Lanka ODI Series,,2,Rangiri Dambulla International Stadium,,,Sri Lanka,bat,,RSA Palliyaguruge,S Ravi,REJ Martinesz,MA Gough,AJ Pycroft,,no result,,,
1098210.csv,West Indies,205,9,India,206,2,male,2017,2017/07/06,India in West Indies ODI Series,,5,"""Sabina Park",Jamaica,,West Indies,bat,V Kohli,HDPK Dharmasena,LS Reifer,N Duguid,CB Gaffaney,DC Boon,India,,,8,
803797.csv,United Arab Emirates,280,8,Afghanistan,282,4,male,2014/15,2014/11/30,United Arab Emirates v Afghanistan ODI Series,,2,ICC Academy,Dubai,,United Arab Emirates,field,Khurram Khan,JD Cloete,RA Kettleborough,Sarika Prasad,,DT Jukes,United Arab Emirates,,,6,
578616.csv,England,269,6,Australia,221,9,male,2013,2013/06/08,,ICC Champions Trophy,3,Edgbaston,Birmingham,,England,bat,IR Bell,HDPK Dharmasena,M Erasmus,Aleem Dar,BF Bowden,J Srinath,England,,48,,
247469.csv,West Indies,202,5,Zimbabwe,204,4,male,2006/07,2007/03/19,,ICC World Cup,13,"""Sabina Park",Jamaica,,West Indies,field,SC Williams,IJ Gould,SJA Taufel,BG Jerling,BF Bowden,RS Mahanama,West Indies,,,6,
433601.csv,India,260,6,Australia,261,5,male,2010/11,2011/03/24,,ICC Cricket World Cup,,"""Sardar Patel Stadium",Ahmedabad,,Australia,bat,Yuvraj Singh,M Erasmus,IJ Gould,Asad Rauf,RA Kettleborough,RS Madugalle,India,,,5,
415282.csv,England,146,10,New Zealand,147,6,male,2009/10,2009/09/29,,ICC Champions Trophy,10,New Wanderers Stadium,Johannesburg,true,New Zealand,field,GD Elliott,Asad Rauf,DJ Harper,SJ Davis,Aleem Dar,RS Mahanama,New Zealand,,,4,
543882.csv,Kenya,237,9,Ireland,120,10,male,2011/12,2012/02/20,,"""ICC World Cricket League Championship",18,Mombasa Sports Club Ground,,,Ireland,bat,EC Joyce,S George,RB Tiffin,V Patel,,D Govindjee,Ireland,,117,,
567359.csv,South Africa,279,8,New Zealand,252,10,male,2012/13,2013/01/22,New Zealand in South Africa ODI Series,,2,De Beers Diamond Oval,Kimberley,,South Africa,field,KS Williamson,Aleem Dar,JD Cloete,S George,Enamul Haque,DC Boon,New Zealand,,27,,
247466.csv,Australia,358,5,Netherlands,129,10,male,2006/07,2007/03/18,,ICC World Cup,10,"""Warner Park",St Kitts,true,Australia,bat,BJ Hodge,SA Bucknor,AL Hill,MR Benson,EAR de Silva,J Srinath,Australia,,229,,
1029823.csv,Bangladesh,277,6,England,278,6,male,2016/17,2016/10/12,England in Bangladesh ODI Series,,3,Zahur Ahmed Chowdhury Stadium,Chittagong,,England,field,AU Rashid,Anisur Rahman,M Erasmus,Masudur Rahman,Aleem Dar,J Srinath,England,,,4,
1144522.csv,Bangladesh,314,9,India,286,10,male,2019,2019/07/02,,World Cup,40,Edgbaston,Birmingham,,India,bat,RG Sharma,M Erasmus,RSA Palliyaguruge,HDPK Dharmasena,Aleem Dar,RS Madugalle,India,,28,,
251492.csv,New Zealand,262,6,Sri Lanka,73,10,male,2006/07,2007/01/06,Sri Lanka in New Zealand ODI Series,,4,Eden Park,Auckland,,Sri Lanka,bat,ST Jayasuriya,GAV Baxter,SJ Davis,PD Jones,AL Hill,J Srinath,Sri Lanka,,189,,
238198.csv,South Africa,254,6,Australia,230,10,male,2005/06,2006/03/05,Australia in South Africa ODI Series,,3,St George's Park,Port Elizabeth,,South Africa,field,B Lee,BG Jerling,JW Lloyds,,KH Hurter,BC Broad,Australia,,24,,
1073407.csv,Scotland,142,10,South Africa,143,4,female,2016/17,2017/02/08,,ICC Women's World Cup Qualifier,7,Mercantile Cricket Association Ground,Colombo,true,Scotland,bat,A Khaka,S Redfern,LS Reifer,JWHD Boteju,,,South Africa,,,6,
249233.csv,Australia,155,10,England,156,6,male,2006/07,2007/01/19,,Commonwealth Bank Series,4,"""Brisbane Cricket Ground",Brisbane,,England,bat,MEK Hussey,DJ Harper,IL Howell,TP Laycock,RL Parry,RS Madugalle,Australia,,,4,
463153.csv,South Africa,265,7,India,142,6,male,2010/11,2011/01/21,India in South Africa ODI Series,,4,St George's Park,Port Elizabeth,,South Africa,bat,JP Duminy,JD Cloete,SJA Taufel,S George,BG Jerling,BC Broad,South Africa,,48,,D/L
643665.csv,Zimbabwe,228,7,India,230,4,male,2013,2013/07/24,India in Zimbabwe ODI Series,,1,Harare Sports Club,,,India,field,V Kohli,BNJ Oxenford,RB Tiffin,L Rusere,TJ Matibiri,BC Broad,India,,,6,
754753.csv,England,153,10,India,156,1,male,2014/15,2015/01/20,Carlton Mid One-Day International Tri-Series,,3,"""Brisbane Cricket Ground",Brisbane,true,India,bat,ST Finn,HDPK Dharmasena,MD Martell,JD Ward,SD Fry,AJ Pycroft,England,,,9,
760789.csv,Bangladesh,251,7,Zimbabwe,183,10,male,2014/15,2014/11/23,Zimbabwe in Bangladesh ODI Series,,2,Zahur Ahmed Chowdhury Stadium,Chittagong,,Bangladesh,bat,Mashrafe Mortaza,CB Gaffaney,Sharfuddoula,Masudur Rahman,Anisur Rahman,RS Madugalle,Bangladesh,,68,,
249748.csv,Australia,234,6,West Indies,224,9,male,2006/07,2006/10/18,,ICC Champions Trophy,10,Brabourne Stadium,Mumbai,true,West Indies,bat,RS Morton,MR Benson,RE Koertzen,SN Bandekar,Aleem Dar,MJ Procter,West Indies,,10,,
247500.csv,England,154,10,South Africa,157,1,male,2006/07,2007/04/17,,ICC World Cup,44,"""Kensington Oval",Barbados,true,England,bat,AJ Hall,SA Bucknor,SJA Taufel,RE Koertzen,BF Bowden,RS Madugalle,South Africa,,,9,
434260.csv,Bangladesh,296,6,India,297,4,male,2009/10,2010/01/07,,Tri-Nation Tournament in Bangladesh,3,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,MS Dhoni,Enamul Haque,IJ Gould,Mahfuzur Rahman,Sharfuddoula,AJ Pycroft,India,,,6,
410341.csv,Zimbabwe,209,10,Bangladesh,212,5,male,2009,2009/08/18,Bangladesh in Zimbabwe ODI Series,,5,Queens Sports Club,Bulawayo,,Zimbabwe,bat,Dolar Mahmud,KC Barbour,AM Saheba,T Phiri,O Chirombe,J Srinath,Bangladesh,,,5,
225247.csv,England,271,9,Pakistan,274,8,male,2006,2006/09/05,NatWest Series,,3,The Rose Bowl,Southampton,,Pakistan,field,Younis Khan,BR Doctrove,NJ Llong,IJ Gould,PJ Hartley,MJ Procter,Pakistan,,,2,
319135.csv,West Indies,112,5,Sri Lanka,125,3,male,2007/08,2008/04/12,Sri Lanka in West Indies ODI Series,,2,"""Queen's Park Oval",Trinidad,,West Indies,field,S Chanderpaul,CR Duncan,SJA Taufel,T Birbal,GE Greaves,BC Broad,West Indies,,,7,D/L
1089523.csv,Ireland,209,10,Zimbabwe,211,4,female,2017,2017/05/09,Women's Quadrangular Series (in South Africa),,4,Senwes Park,Potchefstroom,true,Zimbabwe,field,M Musonda,BP Jele,TC Mokorosi,,,D Govindjee,Zimbabwe,,,6,
1144490.csv,India,227,9,South Africa,230,4,male,2019,2019/06/05,,World Cup,8,The Rose Bowl,Southampton,,South Africa,bat,RG Sharma,RA Kettleborough,MA Gough,Aleem Dar,RK Illingworth,RS Madugalle,India,,,6,
1089420.csv,Scotland,169,10,Zimbabwe,171,4,male,2017,2017/06/17,Zimbabwe in Scotland ODI Series,,2,"""Grange Cricket Club Ground",Edinburgh,,Scotland,bat,,RSA Palliyaguruge,IN Ramage,DA Haggo,,J Srinath,Zimbabwe,,,6,
659551.csv,Zimbabwe,299,4,Pakistan,209,10,male,2013,2013/08/29,Pakistan in Zimbabwe ODI Series,,2,Harare Sports Club,,,Zimbabwe,field,Mohammad Hafeez,O Chirombe,RK Illingworth,I Chabi,TJ Matibiri,JJ Crowe,Pakistan,,90,,
648653.csv,South Africa,280,6,India,146,10,male,2013/14,2013/12/08,India in South Africa ODI Series,,2,Kingsmead,Durban,,India,field,Q de Kock,S George,RK Illingworth,JD Cloete,AT Holdstock,AJ Pycroft,South Africa,,134,,
542856.csv,England,152,8,India,124,4,female,2012,2012/07/11,India Women in England ODI Series,,5,Sir Paul Getty's Ground,Wormsley,,England,field,GA Elwiss,NL Bainton,DJ Millns,,,,England,,29,,D/L
644945.csv,Ireland,248,10,Pakistan,159,10,female,2013,2013/07/19,Pakistan Women in Ireland ODI Series,,2,YMCA Cricket Club,Dublin,,Pakistan,bat,,AA Baig,L Fourie,J McGeehan,,DT Jukes,Pakistan,,89,,
636162.csv,Australia,316,8,England,259,10,male,2013/14,2014/01/24,England in Australia ODI Series,,4,Western Australia Cricket Association Ground,Perth,,Australia,field,BA Stokes,HDPK Dharmasena,JD Ward,SD Fry,REJ Martinesz,AJ Pycroft,England,,57,,
473029.csv,Nepal,203,8,United States of America,148,10,male,2010,2010/08/19,,ICC World Cricket League Division Four,,Ovale di Rastignano,Pianoro,true,United States of America,bat,SS Nadkarni,L Fourie,CA McElwee,S Ketipe,,DT Jukes,United States of America,,55,,
351687.csv,Australia,222,10,South Africa,223,2,male,2008/09,2009/01/26,South Africa in Australia ODI Series,,4,Adelaide Oval,,,Australia,bat,AB de Villiers,IJ Gould,DJ Harper,AR Collins,BNJ Oxenford,RS Madugalle,South Africa,,,8,
433579.csv,England,171,10,South Africa,165,10,male,2010/11,2011/03/06,,ICC Cricket World Cup,21,"""MA Chidambaram Stadium",Chennai,true,England,bat,RS Bopara,AM Saheba,SJA Taufel,RA Kettleborough,EAR de Silva,JJ Crowe,England,,6,,
256608.csv,Australia,244,10,India,35,5,male,2006/07,2006/09/16,,DLF Cup,3,Kinrara Academy Oval,Kuala Lumpur,true,Australia,bat,,MR Benson,AL Hill,Sarika Prasad,Asad Rauf,BC Broad,,no result,,,
239916.csv,West Indies,198,9,India,197,10,male,2006,2006/05/20,India in West Indies ODI Series,,2,"""Sabina Park",Jamaica,,India,field,RR Sarwan,Asad Rauf,BR Doctrove,,NA Malcolm,BC Broad,West Indies,,1,,
885965.csv,Zimbabwe,271,8,India,209,10,male,2015,2015/07/12,India in Zimbabwe ODI Series,,2,Harare Sports Club,,,Zimbabwe,field,M Vijay,SD Fry,TJ Matibiri,O Chirombe,L Rusere,RS Mahanama,India,,62,,
749551.csv,Jersey,147,9,Italy,148,7,male,2014,2014/06/24,,ICC World Cricket League Division Four,,Kallang Ground,Singapore,true,Jersey,field,PW Gough,Ahmed Shah Pakteen,N Morrison,N Mohanty,,SR Bernard,Jersey,,,3,
518967.csv,Australia,238,10,Sri Lanka,229,10,male,2011/12,2012/03/02,,Commonwealth Bank Series,12,Melbourne Cricket Ground,,,Sri Lanka,bat,LD Chandimal,Asad Rauf,RJ Tucker,AJ Barrow,SD Fry,BC Broad,Sri Lanka,,9,,
860271.csv,Sri Lanka,287,8,Pakistan,288,8,male,2015,2015/07/15,Pakistan in Sri Lanka ODI Series,,2,Pallekele International Cricket Stadium,,,Pakistan,bat,MDKJ Perera,REJ Martinesz,RJ Tucker,RR Wimalasiri,IJ Gould,J Srinath,Sri Lanka,,,2,
1104481.csv,Sri Lanka,300,6,Zimbabwe,219,6,male,2017,2017/07/08,Zimbabwe in Sri Lanka ODI Series,,4,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,Sri Lanka,bat,CR Ervine,NJ Llong,REJ Martinesz,RSA Palliyaguruge,IJ Gould,BC Broad,Zimbabwe,,,4,D/L
656441.csv,England,309,6,Sri Lanka,312,1,male,2014/15,2015/03/01,,ICC Cricket World Cup,22,Westpac Stadium,Wellington,true,England,bat,KC Sangakkara,BNJ Oxenford,RJ Tucker,SD Fry,CB Gaffaney,DC Boon,Sri Lanka,,,9,
426431.csv,England,265,7,Pakistan,227,10,male,2010,2010/09/20,NatWest Series,,4,Lord's,London,,Pakistan,bat,Abdul Razzaq,BR Doctrove,RA Kettleborough,NJ Llong,RK Illingworth,JJ Crowe,Pakistan,,38,,
656461.csv,Australia,376,9,Sri Lanka,312,10,male,2014/15,2015/03/08,,ICC Cricket World Cup,32,Sydney Cricket Ground,,,Australia,bat,GJ Maxwell,Aleem Dar,IJ Gould,MA Gough,RK Illingworth,JJ Crowe,Australia,,64,,
1168018.csv,England,258,4,West Indies,131,9,female,2019,2019/06/13,,ICC Women's Championship,,County Ground,Chelmsford,,West Indies,field,AE Jones,DJ Millns,S Redfern,James Middlebrook,GD Lloyd,,England,,135,,D/L
249213.csv,South Africa,243,8,India,163,10,male,2006/07,2006/11/29,India in South Africa ODI Series,,4,St George's Park,Port Elizabeth,,South Africa,bat,HH Gibbs,BR Doctrove,BG Jerling,S George,IL Howell,BC Broad,South Africa,,80,,
